Maker,Genmodel,item_id
Subaru,Impreza,subaru_impreza
Subaru,Justy,subaru_justy
Subaru,Legacy,subaru_legacy
Subaru,Levorg,subaru_levorg
Subaru,Outback,subaru_outback
Subaru,Xv,subaru_xv
Suzuki,Alto,suzuki_alto
Suzuki,Baleno,suzuki_baleno
Suzuki,Celerio,suzuki_celerio
Suzuki,Grand vitara,suzuki_grandvitara
Suzuki,Ignis,suzuki_ignis
Suzuki,Jimny,suzuki_jimny
Suzuki,Kizashi,suzuki_kizashi
Suzuki,Liana,suzuki_liana
Suzuki,Splash,suzuki_splash
Suzuki,Swift,suzuki_swift
Suzuki,Sx4,suzuki_sx4
Suzuki,Sx4 s-cross,suzuki_sx4s-cross
Suzuki,Vitara,suzuki_vitara
Suzuki,Wagon r,suzuki_wagonr
Tvr,Cerbera,tvr_cerbera
Tvr,Tuscan,tvr_tuscan
Tesla,Model s,tesla_models
Tesla,Model x,tesla_modelx
Toyota,Auris,toyota_auris
Toyota,Avensis,toyota_avensis
Toyota,Avensis verso,toyota_avensisverso
Toyota,Aygo,toyota_aygo
Toyota,C-hr,toyota_c-hr
Toyota,Camry,toyota_camry
Toyota,Celica,toyota_celica
Toyota,Corolla,toyota_corolla
Toyota,Gt86,toyota_gt86
Toyota,Iq,toyota_iq
Toyota,Land cruiser,toyota_landcruiser
Toyota,Land cruiser amazon,toyota_landcruiseramazon
Toyota,Land cruiser colorado,toyota_landcruisercolorado
Toyota,Mr2,toyota_mr2
Toyota,Picnic,toyota_picnic
Toyota,Previa,toyota_previa
Toyota,Prius,toyota_prius
Toyota,Rav4,toyota_rav4
Toyota,Starlet,toyota_starlet
Toyota,Urbancruiser,toyota_urbancruiser
Toyota,Verso,toyota_verso
Toyota,Yaris,toyota_yaris
Vauxhall,Adam,vauxhall_adam
Vauxhall,Agila,vauxhall_agila
Vauxhall,Ampera,vauxhall_ampera
Vauxhall,Antara,vauxhall_antara
Vauxhall,Astra,vauxhall_astra
Vauxhall,Cascada,vauxhall_cascada
Vauxhall,Combo tour,vauxhall_combotour
Vauxhall,Corsa,vauxhall_corsa
Vauxhall,Crossland x,vauxhall_crosslandx
Vauxhall,Frontera,vauxhall_frontera
Vauxhall,Grandland x,vauxhall_grandlandx
Vauxhall,Insignia,vauxhall_insignia
Vauxhall,Meriva,vauxhall_meriva
Vauxhall,Mokka,vauxhall_mokka
Vauxhall,Monaro,vauxhall_monaro
Vauxhall,Omega,vauxhall_omega
Vauxhall,Signum,vauxhall_signum
Vauxhall,Tigra,vauxhall_tigra
Vauxhall,Vectra,vauxhall_vectra
Vauxhall,Viva,vauxhall_viva
Vauxhall,Vivaro,vauxhall_vivaro
Vauxhall,Vx220,vauxhall_vx220
Vauxhall,Vxr8,vauxhall_vxr8
Vauxhall,Zafira,vauxhall_zafira
Volkswagen,Arteon,volkswagen_arteon
Volkswagen,Beetle,volkswagen_beetle
Volkswagen,Bora,volkswagen_bora
Volkswagen,Caddy life,volkswagen_caddylife
Volkswagen,Caddy maxi life,volkswagen_caddymaxilife
Volkswagen,California,volkswagen_california
Volkswagen,Caravelle,volkswagen_caravelle
Volkswagen,Cc,volkswagen_cc
Volkswagen,Eos,volkswagen_eos
Volkswagen,Fox,volkswagen_fox
Volkswagen,Golf,volkswagen_golf
Volkswagen,Jetta,volkswagen_jetta
Volkswagen,Lupo,volkswagen_lupo
Volkswagen,Passat,volkswagen_passat
Volkswagen,Phaeton,volkswagen_phaeton
Volkswagen,Polo,volkswagen_polo
Volkswagen,Scirocco,volkswagen_scirocco
Volkswagen,Sharan,volkswagen_sharan
Volkswagen,T-roc,volkswagen_t-roc
Volkswagen,Tiguan,volkswagen_tiguan
Volkswagen,Touareg,volkswagen_touareg
Volkswagen,Touran,volkswagen_touran
Volkswagen,Up!,volkswagen_up!
Volkswagen,E-Golf,volkswagen_e-golf
Volvo,C30,volvo_c30
Volvo,C70,volvo_c70
Volvo,S40,volvo_s40
Volvo,S60,volvo_s60
Volvo,S80,volvo_s80
Volvo,S90,volvo_s90
Volvo,V40,volvo_v40
Volvo,V50,volvo_v50
Volvo,V60,volvo_v60
Volvo,V70,volvo_v70
Volvo,V90,volvo_v90
Volvo,Xc60,volvo_xc60
Volvo,Xc70,volvo_xc70
Volvo,Xc90,volvo_xc90
Volvo,S70,volvo_s70
Volvo,Xc40,volvo_xc40
